DENND6B	DENND6B	Gene Expression
PPP6R2	PPP6R2	Gene Expression
MIR1651	MIR1651	Gene Expression
SBF1	SBF1	Gene Expression
LOC121109567	LOC121109567	Gene Expression
ADM2	ADM2	Gene Expression
MIOX	MIOX	Gene Expression
LMF2	LMF2	Gene Expression
NCAPH2	NCAPH2	Gene Expression
LOC121109254	LOC121109254	Gene Expression
SCO2	SCO2	Gene Expression
IRF5	IRF5	Gene Expression
TNPO3	TNPO3	Gene Expression
LOC112532892	LOC112532892	Gene Expression
SMO	SMO	Gene Expression
AHCYL2	AHCYL2	Gene Expression
LOC121109256	LOC121109256	Gene Expression
LOC121109255	LOC121109255	Gene Expression
STRIP2	STRIP2	Gene Expression
LOC107053537	LOC107053537	Gene Expression
SMKR1	SMKR1	Gene Expression
NRF1	NRF1	Gene Expression
LOC121109257	LOC121109257	Gene Expression
MIR182	MIR182	Gene Expression
MIR96	MIR96	Gene Expression
MIR183	MIR183	Gene Expression
UBE2H	UBE2H	Gene Expression
ZC3HC1	ZC3HC1	Gene Expression
KLHDC10	KLHDC10	Gene Expression
MIR6629	MIR6629	Gene Expression
LOC100859230	LOC100859230	Gene Expression
TMEM209	TMEM209	Gene Expression
CPA2	CPA2	Gene Expression
CPA5	CPA5	Gene Expression
CPA1	CPA1	Gene Expression
CEP41	CEP41	Gene Expression
MEST	MEST	Gene Expression
COPG2	COPG2	Gene Expression
IL15RA	IL15RA	Gene Expression
FBXO18	FBXO18	Gene Expression
ANKRD16	ANKRD16	Gene Expression
GDI1	GDI1	Gene Expression
FAM208B	FAM208B	Gene Expression
LOC107053421	LOC107053421	Gene Expression
ASB13	ASB13	Gene Expression
CALML3	CALML3	Gene Expression
NET1	NET1	Gene Expression
TUBAL3	TUBAL3	Gene Expression
LOC416695	LOC416695	Gene Expression
UCN3	UCN3	Gene Expression
LOC416696	LOC416696	Gene Expression
MIR205B	MIR205B	Gene Expression
SLC35B4	SLC35B4	Gene Expression
LRGUK	LRGUK	Gene Expression
LOC121109260	LOC121109260	Gene Expression
EXOC4	EXOC4	Gene Expression
LOC112532918	LOC112532918	Gene Expression
LOC107053233	LOC107053233	Gene Expression
LOC101747803	LOC101747803	Gene Expression
LOC121109261	LOC121109261	Gene Expression
LOC107055494	LOC107055494	Gene Expression
LOC101750035	LOC101750035	Gene Expression
LOC101749355	LOC101749355	Gene Expression
MIR6659	MIR6659	Gene Expression
LOC121109676	LOC121109676	Gene Expression
LOC121110529	LOC121110529	Gene Expression
LOC121109657	LOC121109657	Gene Expression
LOC121110531	LOC121110531	Gene Expression
LOC107053701	LOC107053701	Gene Expression
LOC121109359	LOC121109359	Gene Expression
LOC121109689	LOC121109689	Gene Expression
LOC121109268	LOC121109268	Gene Expression
LOC121109273	LOC121109273	Gene Expression
LOC112532931	LOC112532931	Gene Expression
CHCHD3	CHCHD3	Gene Expression
LOC101750196	LOC101750196	Gene Expression
LOC121109715	LOC121109715	Gene Expression
